Step   60000 (g22.2+d68.2)s       | [D] min: 0.11       max: 1.54      | [R_te] min: 402.79         max: 931.53         Avg: 603.53 (43.50)      | ent 0.002 | w_noise: [0.01390 0.01565 0.02282 0.06180 0.12805 0.25560 0.34398 0.45067 0.53726 0.66050]
Step   61000 (g22.2+d68.1)s       | [D] min: 0.09       max: 1.62      | [R_te] min: 478.03         max: 838.55         Avg: 656.14 (37.89)      | ent 0.002 | w_noise: [0.01391 0.01570 0.02289 0.06215 0.12869 0.25745 0.34548 0.44999 0.53875 0.66017]
Step   62000 (g22.1+d67.9)s       | [D] min: 0.11       max: 1.79      | [R_te] min: 425.26         max: 696.08         Avg: 534.34 (25.87)      | ent 0.002 | w_noise: [0.01388 0.01562 0.02286 0.06215 0.12860 0.25651 0.34445 0.44930 0.53735 0.65823]
Step   63000 (g22.2+d68.1)s       | [D] min: 0.18       max: 1.96      | [R_te] min: 469.55         max: 947.31         Avg: 673.84 (42.07)      | ent 0.002 | w_noise: [0.01378 0.01552 0.02275 0.06187 0.12843 0.25662 0.34421 0.45140 0.53833 0.66018]
Step   64000 (g22.2+d68.1)s       | [D] min: 0.15       max: 1.59      | [R_te] min: 414.92         max: 872.47         Avg: 579.68 (52.45)      | ent 0.002 | w_noise: [0.01374 0.01545 0.02269 0.06198 0.12840 0.25655 0.34380 0.44901 0.53986 0.66101]
Step   65000 (g25.1+d67.4)s       | [D] min: 0.11       max: 2.14      | [R_te] min: 444.23         max: 711.26         Avg: 551.01 (28.59)      | ent 0.002 | w_noise: [0.01365 0.01535 0.02264 0.06176 0.12805 0.25620 0.34346 0.45001 0.53858 0.65967]
Step   66000 (g21.8+d66.8)s       | [D] min: 0.09       max: 2.29      | [R_te] min: 309.26         max: 554.37         Avg: 420.65 (22.67)      | ent 0.002 | w_noise: [0.01350 0.01526 0.02245 0.06151 0.12745 0.25617 0.34392 0.44874 0.53852 0.66073]
Step   67000 (g21.7+d66.4)s       | [D] min: 0.03       max: 1.72      | [R_te] min: 411.24         max: 975.20         Avg: 578.82 (48.01)      | ent 0.002 | w_noise: [0.01343 0.01518 0.02244 0.06152 0.12784 0.25708 0.34402 0.44945 0.54020 0.66017]
Step   68000 (g21.8+d66.6)s       | [D] min: 0.08       max: 1.77      | [R_te] min: 404.81         max: 872.06         Avg: 577.97 (45.89)      | ent 0.002 | w_noise: [0.01341 0.01520 0.02242 0.06146 0.12816 0.25706 0.34354 0.45006 0.53879 0.66278]
Step   69000 (g21.9+d67.2)s       | [D] min: 0.14       max: 1.73      | [R_te] min: 397.07         max: 796.93         Avg: 612.77 (44.71)      | ent 0.002 | w_noise: [0.01355 0.01528 0.02256 0.06172 0.12820 0.25764 0.34510 0.45099 0.53806 0.66190]
Step   70000 (g21.8+d66.6)s       | [D] min: 0.11       max: 1.40      | [R_te] min: 466.63         max: 1276.20        Avg: 618.25 (73.97)      | ent 0.002 | w_noise: [0.01321 0.01501 0.02218 0.06081 0.12706 0.25608 0.34439 0.44844 0.53703 0.66091]
Step   71000 (g21.9+d66.9)s       | [D] min: 0.14       max: 1.66      | [R_te] min: 394.71         max: 1131.50        Avg: 656.96 (75.32)      | ent 0.002 | w_noise: [0.01311 0.01486 0.02204 0.06070 0.12655 0.25537 0.34348 0.44703 0.53462 0.65802]
Step   72000 (g21.8+d66.8)s       | [D] min: 0.13       max: 1.35      | [R_te] min: 359.15         max: 883.72         Avg: 564.81 (56.83)      | ent 0.002 | w_noise: [0.01302 0.01478 0.02193 0.06069 0.12624 0.25554 0.34331 0.44871 0.53530 0.66036]
Step   73000 (g21.9+d66.9)s       | [D] min: 0.13       max: 2.17      | [R_te] min: 451.06         max: 1285.39        Avg: 703.14 (76.10)      | ent 0.002 | w_noise: [0.01296 0.01477 0.02183 0.06069 0.12610 0.25553 0.34356 0.44722 0.53556 0.66025]
Step   74000 (g21.8+d66.7)s       | [D] min: 0.12       max: 2.03      | [R_te] min: 430.16         max: 1030.65        Avg: 596.71 (53.98)      | ent 0.002 | w_noise: [0.01304 0.01475 0.02185 0.06066 0.12645 0.25541 0.34215 0.44848 0.53659 0.66084]
Step   75000 (g21.9+d67.0)s       | [D] min: 0.12       max: 1.58      | [R_te] min: 424.62         max: 842.54         Avg: 572.98 (43.46)      | ent 0.002 | w_noise: [0.01307 0.01487 0.02195 0.06095 0.12683 0.25604 0.34304 0.44911 0.53672 0.66045]
Step   76000 (g21.9+d66.9)s       | [D] min: 0.15       max: 1.46      | [R_te] min: 472.57         max: 695.34         Avg: 571.22 (24.11)      | ent 0.002 | w_noise: [0.01307 0.01482 0.02192 0.06103 0.12674 0.25594 0.34187 0.44754 0.53706 0.66127]
Step   77000 (g21.8+d66.8)s       | [D] min: 0.04       max: 2.00      | [R_te] min: 473.13         max: 842.90         Avg: 637.21 (34.28)      | ent 0.002 | w_noise: [0.01303 0.01484 0.02194 0.06117 0.12691 0.25582 0.34185 0.44787 0.53793 0.66043]
Step   78000 (g21.9+d66.8)s       | [D] min: 0.12       max: 1.87      | [R_te] min: 534.45         max: 910.62         Avg: 687.51 (38.12)      | ent 0.002 | w_noise: [0.01293 0.01467 0.02174 0.06054 0.12680 0.25578 0.34142 0.44837 0.53634 0.65902]
Step   79000 (g21.9+d66.8)s       | [D] min: 0.11       max: 1.54      | [R_te] min: 336.80         max: 611.03         Avg: 434.06 (27.71)      | ent 0.002 | w_noise: [0.01286 0.01461 0.02168 0.06053 0.12663 0.25569 0.34286 0.44865 0.53714 0.65866]
